repository_name,Training Set,Test Set,Model,Loop Size,accuracy_mean,accuracy_std,AUC_mean,AUC_std,F-measure_mean,F-measure_std,MCC_mean,MCC_std
PROMISE,camel-1.6,xalan-2.7,LR,1,0.297,0,0.465,0,0.452,0,-0.017,0
PROMISE,camel-1.6,xalan-2.7,TCA_NoN,1,0.307,0,0.604,0,0.461,0,0.05,0
PROMISE,camel-1.6,xalan-2.7,TCA_N1,1,0.493,0,0.698,0,0.655,0,0.087,0
PROMISE,camel-1.6,xalan-2.7,TCA_N2,1,0.373,0,0.593,0,0.537,0,0.042,0
PROMISE,camel-1.6,xalan-2.7,TCA_N3,1,0.234,0,0.478,0,0.371,0,-0.012,0
PROMISE,camel-1.6,xalan-2.7,TCA_N4,1,0.393,0,0.603,0,0.558,0,0.046,0
PROMISE,camel-1.6,xalan-2.7,TCA+_N2,1,0.373,0,0.593,0,0.537,0,0.042,0
PROMISE,xalan-2.7,camel-1.6,LR,1,0.237,0,0.516,0,0.332,0,0.058,0
PROMISE,xalan-2.7,camel-1.6,TCA_NoN,1,0.463,0,0.522,0,0.309,0,0.035,0
PROMISE,xalan-2.7,camel-1.6,TCA_N1,1,0.403,0,0.555,0,0.344,0,0.096,0
PROMISE,xalan-2.7,camel-1.6,TCA_N2,1,0.378,0,0.545,0,0.339,0,0.083,0
PROMISE,xalan-2.7,camel-1.6,TCA_N3,1,0.411,0,0.455,0,0.258,0,-0.073,0
PROMISE,xalan-2.7,camel-1.6,TCA_N4,1,0.374,0,0.555,0,0.346,0,0.102,0
PROMISE,xalan-2.7,camel-1.6,TCA+_N2,1,0.378,0,0.545,0,0.339,0,0.083,0
PROMISE,camel-1.6,xerces-1.4.4,LR,1,0.405,0,0.502,0,0.43,0,0.004,0
PROMISE,camel-1.6,xerces-1.4.4,TCA_NoN,1,0.66,0,0.606,0,0.758,0,0.197,0
PROMISE,camel-1.6,xerces-1.4.4,TCA_N1,1,0.493,0,0.581,0,0.54,0,0.148,0
PROMISE,camel-1.6,xerces-1.4.4,TCA_N2,1,0.485,0,0.543,0,0.55,0,0.076,0
PROMISE,camel-1.6,xerces-1.4.4,TCA_N3,1,0.301,0,0.372,0,0.325,0,-0.247,0
PROMISE,camel-1.6,xerces-1.4.4,TCA_N4,1,0.517,0,0.61,0,0.563,0,0.2,0
PROMISE,camel-1.6,xerces-1.4.4,TCA+_N2,1,0.485,0,0.543,0,0.55,0,0.076,0
PROMISE,xerces-1.4.4,camel-1.6,LR,1,0.31,0,0.549,0,0.347,0,0.113,0
PROMISE,xerces-1.4.4,camel-1.6,TCA_NoN,1,0.412,0,0.554,0,0.343,0,0.094,0
PROMISE,xerces-1.4.4,camel-1.6,TCA_N1,1,0.514,0,0.547,0,0.325,0,0.075,0
PROMISE,xerces-1.4.4,camel-1.6,TCA_N2,1,0.409,0,0.532,0,0.326,0,0.055,0
PROMISE,xerces-1.4.4,camel-1.6,TCA_N3,1,0.612,0,0.473,0,0.197,0,-0.047,0
PROMISE,xerces-1.4.4,camel-1.6,TCA_N4,1,0.483,0,0.572,0,0.351,0,0.117,0
PROMISE,xerces-1.4.4,camel-1.6,TCA+_N1,1,0.514,0,0.547,0,0.325,0,0.075,0
PROMISE,forrest-0.8,ivy-2.0,LR,1,0.838,0,0.658,0,0.374,0,0.285,0
PROMISE,forrest-0.8,ivy-2.0,TCA_NoN,1,0.557,0,0.706,0,0.316,0,0.263,0
PROMISE,forrest-0.8,ivy-2.0,TCA_N1,1,0.599,0,0.621,0,0.269,0,0.156,0
PROMISE,forrest-0.8,ivy-2.0,TCA_N2,1,0.759,0,0.58,0,0.248,0,0.126,0
PROMISE,forrest-0.8,ivy-2.0,TCA_N3,1,0.869,0,0.501,0,0.042,0,0.005,0
PROMISE,forrest-0.8,ivy-2.0,TCA_N4,1,0.827,0,0.543,0,0.187,0,0.09,0
PROMISE,forrest-0.8,ivy-2.0,TCA+_N1,1,0.599,0,0.621,0,0.269,0,0.156,0
PROMISE,ivy-2.0,forrest-0.8,LR,1,0.938,0,0.967,0,0.667,0,0.683,0
PROMISE,ivy-2.0,forrest-0.8,TCA_NoN,1,0.781,0,0.65,0,0.222,0,0.176,0
PROMISE,ivy-2.0,forrest-0.8,TCA_N1,1,0.438,0,0.467,0,0.1,0,-0.033,0
PROMISE,ivy-2.0,forrest-0.8,TCA_N2,1,0.562,0,0.533,0,0.125,0,0.033,0
PROMISE,ivy-2.0,forrest-0.8,TCA_N3,1,0.812,0,0.433,0,0,0,-0.098,0
PROMISE,ivy-2.0,forrest-0.8,TCA_N4,1,0.594,0,0.55,0,0.133,0,0.049,0
PROMISE,ivy-2.0,forrest-0.8,TCA+_N1,1,0.438,0,0.467,0,0.1,0,-0.033,0
PROMISE,forrest-0.8,log4j-1.2,LR,1,0.171,0,0.55,0,0.183,0,0.093,0
PROMISE,forrest-0.8,log4j-1.2,TCA_NoN,1,0.61,0,0.531,0,0.747,0,0.034,0
PROMISE,forrest-0.8,log4j-1.2,TCA_N1,1,0.517,0,0.481,0,0.667,0,-0.021,0
PROMISE,forrest-0.8,log4j-1.2,TCA_N2,1,0.249,0,0.507,0,0.33,0,0.009,0
PROMISE,forrest-0.8,log4j-1.2,TCA_N3,1,0.112,0,0.519,0,0.071,0,0.055,0
PROMISE,forrest-0.8,log4j-1.2,TCA_N4,1,0.22,0,0.548,0,0.273,0,0.072,0
PROMISE,forrest-0.8,log4j-1.2,TCA+_N1,1,0.517,0,0.481,0,0.667,0,-0.021,0
PROMISE,log4j-1.2,forrest-0.8,LR,1,0.281,0,0.617,0,0.148,0,0.137,0
PROMISE,log4j-1.2,forrest-0.8,TCA_NoN,1,0.844,0,0.45,0,0,0,-0.083,0
PROMISE,log4j-1.2,forrest-0.8,TCA_N1,1,0.344,0,0.65,0,0.16,0,0.162,0
PROMISE,log4j-1.2,forrest-0.8,TCA_N2,1,0.406,0,0.683,0,0.174,0,0.187,0
PROMISE,log4j-1.2,forrest-0.8,TCA_N3,1,0.812,0,0.433,0,0,0,-0.098,0
PROMISE,log4j-1.2,forrest-0.8,TCA_N4,1,0.25,0,0.6,0,0.143,0,0.124,0
PROMISE,log4j-1.2,forrest-0.8,TCA+_N1,1,0.344,0,0.65,0,0.16,0,0.162,0
PROMISE,forrest-0.8,lucene-2.4,LR,1,0.506,0,0.57,0,0.368,0,0.176,0
PROMISE,forrest-0.8,lucene-2.4,TCA_NoN,1,0.588,0,0.57,0,0.659,0,0.14,0
PROMISE,forrest-0.8,lucene-2.4,TCA_N1,1,0.456,0,0.464,0,0.482,0,-0.072,0
PROMISE,forrest-0.8,lucene-2.4,TCA_N2,1,0.456,0,0.531,0,0.239,0,0.095,0
PROMISE,forrest-0.8,lucene-2.4,TCA_N3,1,0.394,0,0.48,0,0.072,0,-0.087,0
PROMISE,forrest-0.8,lucene-2.4,TCA_N4,1,0.488,0,0.548,0,0.36,0,0.116,0
PROMISE,forrest-0.8,lucene-2.4,TCA+_N1,1,0.456,0,0.464,0,0.482,0,-0.072,0
PROMISE,lucene-2.4,forrest-0.8,LR,1,0.406,0,0.683,0,0.174,0,0.187,0
PROMISE,lucene-2.4,forrest-0.8,TCA_NoN,1,0.312,0,0.633,0,0.154,0,0.149,0
PROMISE,lucene-2.4,forrest-0.8,TCA_N1,1,0.312,0,0.4,0,0.083,0,-0.104,0
PROMISE,lucene-2.4,forrest-0.8,TCA_N2,1,0.5,0,0.5,0,0.111,0,0,0
PROMISE,lucene-2.4,forrest-0.8,TCA_N3,1,0.781,0,0.417,0,0,0,-0.111,0
PROMISE,lucene-2.4,forrest-0.8,TCA_N4,1,0.5,0,0.5,0,0.111,0,0,0
PROMISE,lucene-2.4,forrest-0.8,TCA+_N1,1,0.312,0,0.4,0,0.083,0,-0.104,0
PROMISE,forrest-0.8,poi-3.0,LR,1,0.509,0,0.607,0,0.389,0,0.276,0
PROMISE,forrest-0.8,poi-3.0,TCA_NoN,1,0.747,0,0.695,0,0.816,0,0.429,0
PROMISE,forrest-0.8,poi-3.0,TCA_N1,1,0.518,0,0.568,0,0.503,0,0.139,0
PROMISE,forrest-0.8,poi-3.0,TCA_N2,1,0.493,0,0.592,0,0.364,0,0.242,0
PROMISE,forrest-0.8,poi-3.0,TCA_N3,1,0.351,0,0.472,0,0.047,0,-0.129,0
PROMISE,forrest-0.8,poi-3.0,TCA_N4,1,0.373,0,0.443,0,0.273,0,-0.13,0
PROMISE,forrest-0.8,poi-3.0,TCA+_N1,1,0.518,0,0.568,0,0.503,0,0.139,0
PROMISE,poi-3.0,forrest-0.8,LR,1,0.688,0,0.833,0,0.286,0,0.333,0
PROMISE,poi-3.0,forrest-0.8,TCA_NoN,1,0.219,0,0.583,0,0.138,0,0.111,0
PROMISE,poi-3.0,forrest-0.8,TCA_N1,1,0.312,0,0.633,0,0.154,0,0.149,0
PROMISE,poi-3.0,forrest-0.8,TCA_N2,1,0.594,0,0.55,0,0.133,0,0.049,0
PROMISE,poi-3.0,forrest-0.8,TCA_N3,1,0.156,0,0.55,0,0.129,0,0.083,0
PROMISE,poi-3.0,forrest-0.8,TCA_N4,1,0.594,0,0.783,0,0.235,0,0.275,0
